name,location,manufacturer,designer,type,model,track_layout,status,lift_launch,latitude,longitude,open_year,close_year,height,length,drop,max_angle,inversions,speed,restriction_low,restriction_up,gforce,duration,riders_per_hour,riders_per_train
Windjammer Surf Racers,,TOGO,TOGO,Steel,,custom,closed,lift,33.8458,-118.0008,1997,2000.0,21.031200000000002,564.1848,16.4592,42.0,1,64.0,1.2192,,,90.0,1400.0,8.0
Zeus ,Mt. Olympus Water & Theme Park,Custom Coasters International,,Wood,,,operating,,43.6167,-89.7892,1997,,27.432000000000002,883.9200000000001,25.908,,0,96.0,1.2192,,,85.0,,
Zoomerang (Lake Compounce),Lake Compounce,Vekoma,Vekoma,Steel,boomerang,,operating,,41.643,-72.9229,1997,,35.5092,284.988,,,3,75.2,1.2192,,5.2,108.0,760.0,
Alpine Bobsled,,Intamin,,Steel,bobsled,,,,,,1998,,19.5072,454.15200000000004,,,0,56.0,1.0668000000000002,,,60.0,,8.0
Batman & Robin: The Chiller,,Premier Rides,Werner Stengel,Steel,,custom,closed,launch,,,1998,2007.0,60.96,346.55760000000004,42.367200000000004,90.0,1,104.0,1.3716,,5.0,32.0,1360.0,20.0
Blue Tornado ,Gardaland,Vekoma,Vekoma,Steel,suspended looping,,operating,,45.4566,10.7137,1998,,33.000696,764.7432,30.001464000000002,59.0,5,79.52000000000001,1.397,2.0002500000000003,4.5,60.0,1500.0,20.0
Boomerang: Coast to Coaster,,Vekoma,Vekoma,Steel,boomerang,,,lift,,,1998,,35.5092,284.988,,65.0,3,75.2,1.2192,,5.2,108.0,760.0,
Doo Wopper,Morey's Piers,Zamperla,,Steel,,,operating,,38.9892,-74.803,1998,,10.668000000000001,269.748,,,0,,0.9144,,,,500.0,4.0
Excalibur (Funtown Splashtown USA),Funtown Splashtown USA,Custom Coasters International,"Dennis McNulty, Larry Bill",Wood,,,operating,lift,43.5283,-70.4312,1998,,30.48,822.96,24.9936,,0,88.0,1.2192,,,118.0,,
GhostRider ,Knott's Berry Farm,Custom Coasters International,,Wood,,out and back,operating,lift,33.8426,-117.9981,1998,,35.9664,1381.6584,32.9184,51.0,0,89.60000000000001,1.2192,,3.1,160.0,1600.0,24.0
Great Bear ,Hersheypark,Bolliger & Mabillard,Werner Stengel,Steel,inverted,,operating,lift,40.2869,-76.6531,1998,,27.432000000000002,853.44,37.7952,,4,92.80000000000001,1.3716,,,175.0,1300.0,32.0
Invertigo (California's Great America),California's Great America,Vekoma,,Other,,,in production,,,,1998,,40.02024000000001,309.00624,,,3,80.0,,,,90.0,,
Journey to Atlantis,SeaWorld Orlando,Mack Rides,,Steel,,water,operating,lift,,,1998,,,,18.288,,0,,1.0668000000000002,,,356.0,,
Kong ,,Vekoma,,Steel,suspended looping,,,lift,,,1998,1997.0,33.314640000000004,689.0004,,,5,79.52000000000001,1.3208000000000002,1.9812,,96.0,1040.0,20.0
Mad Cobra ,"Suzuka, Mie Prefecture, Japan",,,Other,,,,,34.8431,136.5406,1998,,,,,,0,,,,,,1550.0,
Mad Mouse (Pavilion),Myrtle Beach Pavilion,Arrow Dynamics,,Steel,,wild mouse,closed,lift,33.6929,-78.8824,1998,2006.0,17.6784,383.1336,9.144,,0,40.0,1.2192,,,90.0,,
Mamba ,Worlds of Fun,D. H. Morgan Manufacturing,Steve Okamoto,Steel,hyper,out and back,operating,lift,39.172,-94.4906,1998,,62.484,1706.88,62.484,66.0,0,120.0,1.2192,,3.5,180.0,1700.0,36.0
Monte Makaya,Terra Encantada,Intamin,Werner Stengel,Steel,inverted,,closed,lift,-22.9853,-43.3644,1998,2010.0,36.8808,799.7952,,,8,80.0,1.2953999999999999,,,105.0,1500.0,
Mr. Freeze ,,Premier Rides,Werner Stengel,Steel,,shuttle,,launch,,,1998,,66.4464,396.24,59.1312,90.0,2,112.0,1.3716,,4.0,,,20.0
Oblivion ,Alton Towers,Bolliger & Mabillard,Werner Stengel,Steel,dive,,operating,lift,52.9866,-1.8965,1998,,19.812,113.69040000000001,16.70304,87.5,0,109.44000000000001,1.4000000000000001,,4.5,75.0,1900.0,16.0
