name,location,manufacturer,designer,type,model,track_layout,status,lift_launch,latitude,longitude,open_year,close_year,height,length,drop,max_angle,inversions,speed,restriction_low,restriction_up,gforce,duration,riders_per_hour,riders_per_train
Switchback Railway,Coney Island,LaMarcus Adna Thompson,LaMarcus Adna Thompson,Wood,,custom,closed,lift,40.574,-73.978,1884,,15.24,182.88,13.1064,30.0,0,9.600000000000001,,,2.9,60.0,1600.0,
Flip Flap Railway,Sea Lion Park,Lina Beecher,Lina Beecher,Wood,,,closed,,40.578,-73.979,1895,1902.0,,,,,1,,,,12.0,,,2.0
Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1896,,,,,,0,,,,,,,
Loop the Loop (Coney Island),Coney Island,Edwin Prescott,Edward A. Green,Steel,,,closed,,40.5745,-73.978,1901,1910.0,,,,,1,,,,,,,4.0
Loop the Loop (Young's Pier),Young's Pier,Edwin Prescott,Edward A. Green,Steel,,,closed,,39.3538,-74.4342,1901,1912.0,,,,,1,,,,,,,
Cannon Coaster,Coney Island,George Francis Meyer,,Wood,,,closed,,40.575,-73.98,1902,1907.0,12.192,,,,0,,,,,,,
Leap-The-Dips,Lakemont Park,Federal Construction Company,Edward Joy Morris,Wood,,,operating,,,,1902,,12.4968,442.56960000000004,2.7432000000000003,25.0,0,16.0,,,,60.0,,
Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1904,,,,,,0,,,,,,,
Drop the Dip,Coney Island,Arthur Jarvis,"Christopher Feucht, Welcome Mosley",Other,,,closed,,40.5744,-73.9786,1907,1930.0,18.288,,,,0,,,,,60.0,,
Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1907,,,,,,0,,,,,,,
Loop the Loop (Olentangy Park),Olentangy Park,Lina Beecher,Lina Beecher,Steel,,,closed,,40.0204,-83.0143,1908,,,,,,1,,,,,,,
Aero Dips,"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1909,,,,,,0,,,,,,,
Backety-Back Scenic Railway,Crystal Beach,,John H. Brown,Wood,,,closed,,42.8675,-79.0592,1909,1926.0,,,,,0,16.0,,,,,,20.0
Racer (1910 roller coaster),Kennywood,Charlie Mach,John A. Miller,Wood,racing,dual-tracked,operating,lift,40.3869,-79.8619,1910,,22.098000000000003,1371.6000000000001,15.24,,0,64.0,1.1684,,,92.0,1400.0,24.0
Derby Racer,Revere Beach,Fred W. Pearce,,Wood,,figure 8,closed,,42.42,-70.986,1911,1936.0,,,,,0,,,,,,,
The Great Scenic Railway,Luna Park Melbourne,LaMarcus Thompson,,Wood,,,operating,lift,,,1912,,16.002000000000002,294.7416,,,0,59.68,1.0,,,,,20.0
Zippin Pippin,,The Gravity Group,John A. Miller,Wood,,custom,,lift,,,1912,2005.0,21.336000000000002,873.2520000000001,21.336000000000002,64.0,0,64.0,1.2192,,,118.0,,
Racing Coaster,"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1913,,,,,,0,,,,,,,
Whirl Pool Dips,Tolchester Beach Park,,,Wood,,,closed,,39.214,-76.231,1913,1959.0,,,,,0,,,,,,,
Green Dragon (Lake Compounce),Lake Compounce,,"Bowen, Moore",Wood,,,closed,lift,41.642,-72.923,1914,1926.0,,,,,0,,,,,,,
The Wild One ,Six Flags America,Dinn Corporation,John A. MillerHerbert Schmeck,Wood,,,,,38.9092,-76.7725,1917,1984.0,29.8704,1219.2,26.822400000000002,,0,84.80000000000001,1.2192,,,112.0,,24.0
Jack Rabbit (Clementon Park),Clementon Park,Philadelphia Toboggan Coasters,John A. Miller,Wood,,,closed,lift,39.8041,-74.9844,1919,2002.0,15.24,420.624,15.24,,0,,,,,,,
Jack Rabbit (Kennywood),Kennywood,Harry C. Baker,John A. Miller,Wood,,terrain,operating,lift,40.3867,-79.8628,1920,,12.192,649.8336,21.336000000000002,45.0,0,72.0,1.0668000000000002,,,96.0,,18.0
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Harry C. Baker,John A. Miller,Wood,,terrain,operating,lift,43.2316,-77.5432,1920,,22.86,649.224,,52.0,0,67.2,1.2192,,,,,
Scenic Railway ,Dreamland Margate,,,Wood,custom,,operating,lift,51.3853,1.3775,1920,,12.192,914.4000000000001,12.192,,0,56.0,,,,,,
Roller Coaster (Lagoon),Lagoon Amusement Park,,John A. Miller,Wood,,out and back,operating,lift,40.9849,-111.8951,1921,,18.8976,232.25760000000002,,,0,72.0,1.1684,,,,,24.0
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,William Strickler,John A. Miller,Wood,,out and back,operating,lift,53.7892,-3.0569,1923,,19.812,1005.84,15.24,46.0,0,64.0,1.1684,,3.7,148.0,,24.0
Wild Cat (Hersheypark),Hersheypark,Philadelphia Toboggan Coasters,Herbert Schmeck,Wood,,out and back,closed,lift,40.2882,-76.6535,1923,1945.0,,710.4888000000001,22.86,,0,,,,,,,24.0
The Bobs ,Riverview Park,Prior and Church,Fred Church,Wood,,,closed,lift,41.9407,-87.6924,1924,1967.0,19.7358,986.028,18.159984,,0,80.0,,,,,,
Giant Dipper,Santa Cruz Beach Boardwalk,Arthur Looff,"Frank Prior, Frederick Church",Wood,,out and back,operating,lift,36.9647,-122.0153,1924,,21.336000000000002,804.672,19.812,,0,88.0,1.27,,,112.0,,24.0
Pippin ,Kennywood,,Andy Vettel (1968)John A. Miller (1924),Wood,,terrain,operating,lift,40.3889,-79.865,1924,,21.336000000000002,990.6,27.432000000000002,,0,88.0,1.3208000000000002,,,101.0,,24.0
The Thriller ,"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1924,,,,,,0,,,,,,,
Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,Wood,,out and back,operating,lift,40.5798,-75.5355,1924,,24.384,843.3816,19.812,45.0,0,72.0,1.2192,,,78.0,,24.0
Big Dipper (Geauga Lake),Geauga Lake,,John A. Miller,Wood,,out and back,closed,lift,41.3491,-81.378,1925,2007.0,19.812,816.864,,,0,51.2,1.2192,,,105.0,,24.0
Cyclone (Revere Beach),Revere Beach,Traver Engineering,Frederick Church,Wood,,,closed,,42.42,-70.986,1925,1969.0,30.48,1097.28,,,0,72.0,,,,,1400.0,
Giant Dipper (Belmont Park),Belmont Park,"Frank Prior, Fredrick Church","Frank Prior, Fredrick Church",Wood,,custom,operating,lift,,,1925,,21.336000000000002,792.48,18.288,40.0,0,76.80000000000001,1.27,,,105.0,,
Jazz Railway,Rocky Glen Park,Traver Engineering,Harry G. Traver,Wood,,,closed,lift,41.3533,-75.7059,1925,1927.0,7.9248,365.76,,,0,,,,,60.0,,6.0
Thunderbolt (1925 roller coaster),Coney Island,,John A. Miller,Wood,,,closed,,40.5739,-73.9825,1925,1982.0,26.2128,,,,0,,,,,77.0,,
Thunderbolt (Savin Rock),Savin Rock,Traver Engineering,Frank Prior and Frederick Church,Wood,,,closed,,41.257,-72.95,1925,1938.0,28.041600000000003,1524.0,,,0,,,,,,,
Crystal Beach Cyclone,Crystal Beach Park,Traver Engineering,Harry G. Traver,Wood,,twister,closed,lift,42.8617,-79.0598,1926,1946.0,29.260800000000003,900.0744000000001,27.432000000000002,59.0,0,96.0,,,4.0,70.0,85.0,
Sesquicentennial Cyclone,Sesquicentennial Exposition,Traver Engineering,Harry G. Traver,Wood,,,closed,,39.9087,-75.1733,1926,1926.0,18.288,609.6,,,0,,,,,,,20.0
Tornado (Coney Island),Coney Island,,,Wood,,twister,closed,,40.574,-73.979,1926,1977.0,21.640800000000002,905.2560000000001,,,0,,,,,,,
Coney Island Cyclone,"Luna Park, Coney Island",,Vernon Keenan,Other,,twister,operating,lift,40.5742,-73.9778,1927,,25.908,804.672,,58.1,0,96.0,1.3716,,3.75,150.0,1440.0,
Crystal Beach Cyclone,Crystal Beach Park,Traver Engineering,Harry G. Traver,Wood,,twister,closed,lift,42.8617,-79.0598,1927,1946.0,29.260800000000003,900.0744000000001,27.432000000000002,59.0,0,96.0,,,4.0,70.0,85.0,
Cyclone (Palisades Amusement Park),Palisades Amusement Park,Traver Engineering,Harry G. Traver,Wood,,cyclone,closed,,40.8281,-73.9778,1927,1934.0,,,,,0,,,,,,,20.0
Lightning (Revere Beach),Revere Beach,Traver Engineering,Harry G. Traver,Wood,,cyclone,closed,,42.42,-70.986,1927,1933.0,,,,,0,,,,,,,
Racer (Kennywood),Kennywood,Charlie Mach,John A. Miller,Wood,racing,dual-tracked,operating,lift,40.3869,-79.8619,1927,,22.098000000000003,1371.6000000000001,15.24,,0,64.0,1.1684,,,92.0,1400.0,24.0
Wildcat (Lake Compounce),Lake Compounce,Philadelphia Toboggan Coasters,Herbert Paul Schmeck and Dinn Corporation,Wood,,,operating,lift,41.6408,-72.9231,1927,,25.908,836.9808,23.7744,,0,76.80000000000001,1.2192,,,75.0,,14.0
Zip ,Oaks Amusement Park,Traver Engineering,Harry G. Traver,Wood,,,closed,,45.473,-122.6606,1927,1934.0,18.288,762.0,,,0,,,,,90.0,,10.0
Airplane Coaster,Playland,Frank W. Darling,Frederick Church,Wood,,,closed,,40.9658,-73.6739,1928,1957.0,28.041600000000003,1066.8,,,0,64.0,,,,,,20.0
Montaña Suiza,Monte Igueldo Amusement Park,,Erich Heidrich,Other,,terrain,operating,lift,43.3207,-2.0107,1928,,9.7536,399.98904,,,0,49.6,,,,90.0,,
Dragon Coaster (Playland),Playland,,Frederick Church,Wood,,out and back,operating,lift,40.9675,-73.6739,1929,,23.98776,315.7728,7.010400000000001,,0,,1.2192,,,100.0,,24.0
Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",,,Other,,,closed,,41.58,-81.57,1930,,,,,,0,,,,,,,
Yankee Cannonball,Canobie Lake Park,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,Wood,,,operating,lift,42.7953,-71.2492,1930,,19.812,185.80608,5.91312,,0,56.0,,,,,,
Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,,Erich Heidrich,Wood,,out and back,operating,lift,52.5928,1.7361,1932,,21.336000000000002,982.40088,15.5448,35.0,0,72.0,,,,190.0,600.0,
Nickelodeon Streak,Blackpool Pleasure Beach,,Charles Paige,Wood,,,operating,lift,53.7908,-3.0544,1933,,18.5928,698.9064000000001,,,0,56.0,1.1684,,3.0,104.0,,24.0
Zipper Dipper,Blackpool Pleasure Beach,,Charlie Paige,Other,,,operating,,53.7902,-3.0539,1934,,4.572,,,,0,,,,,60.0,,20.0
Big Dipper (Luna Park Sydney),Luna Park Sydney,,,Wood,,,,lift,,,1935,,15.8496,799.4904,,45.0,0,92.80000000000001,,,,180.0,,
Grand National ,Blackpool Pleasure Beach,,Charles Paige,Wood,racing,dual-tracked,closed,lift,53.7919,-3.0531,1935,,18.8976,1006.4496,16.4592,39.0,0,64.0,1.1684,,3.2,140.0,,18.0
Blue Streak (Conneaut Lake),Conneaut Lake Park,,Ed Vettel,Wood,,out and back,closed,,41.6349,-80.318,1937,,23.4696,883.9200000000001,,,0,80.0,,,,140.0,,18.0
Derby Racer,Revere Beach,Fred W. Pearce,,Wood,,figure 8,closed,,42.42,-70.986,1937,1936.0,,,,,0,,,,,,,
Blue Streak (Conneaut Lake),Conneaut Lake Park,,Ed Vettel,Wood,,out and back,closed,,41.6349,-80.318,1938,,23.4696,883.9200000000001,,,0,80.0,,,,140.0,,18.0
Rollo Coaster,Idlewild and Soak Zone,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,Wood,,out and back,operating,lift,40.2602,-79.2814,1938,,8.2296,274.32,7.62,,0,40.0,1.0668000000000002,,,75.0,,
Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,,Edward A. Vettel,Wood,,terrain,operating,lift,39.7808,-105.054,1940,,24.384,853.44,24.384,50.0,0,88.0,1.2192,,,120.0,1100.0,20.0
Flyer Comet (Whalom Park),Whalom Park,National Amusement Devices,Vernon Keenan,Wood,,,closed,,42.5762,-71.746,1940,2000.0,21.336000000000002,804.672,,,0,64.0,,,,110.0,,
Giant Skyrocket,,Lake Contrary Amusement Park,Audley Ingersoll,Wood,,,,,,,1941,,33.528,2011.68,27.432000000000002,,0,,,,,,,
Thunderbolt (Six Flags New England),Six Flags New England,Joseph E. Drambour,"Harry C. Baker, Harry G Traver",Wood,,figure 8,operating,,42.0389,-72.6133,1941,,21.336000000000002,792.48,,,0,64.0,1.2192,,,60.0,,
Comet (Hersheypark),Hersheypark,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,Wood,,out and back,operating,lift,40.2864,-76.6556,1946,,25.6032,1024.1280000000002,23.7744,47.0,0,80.0,1.0668000000000002,,,105.0,950.0,
Comet (Lincoln Park),Lincoln Park,National Amusement Devices,"Edward Leis, Vernon Keenan",Wood,,,closed,lift,41.6362,-71.0432,1946,1987.0,19.812,914.4000000000001,,,0,88.0,,,,130.0,,
Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Allan Herschell Company,,Steel,little dipper,oval,operating,lift,41.6343,-80.3165,1950,,,,,,0,,,,,,,
Little Dipper (Six Flags Great America),Six Flags Great America,Philadelphia Toboggan Coasters,Herbert Schmeck,Wood,junior,,,lift,,,1950,2009.0,8.5344,213.36,7.315200000000001,,0,40.0,,,,50.0,,16.0
Big Dipper (Battersea Park),Battersea Park,,,Wood,,,closed,lift,51.4794,-0.1569,1951,1972.0,14.996160000000001,365.76,,,0,,,,,,,24.0
Comet (Waldameer),Waldameer Park,Philadelphia Toboggan Coasters,Herbert Paul Schmeck,Wood,,,operating,lift,42.1077,-80.1568,1951,,11.277600000000001,396.24,7.62,,0,40.0,1.1684,,,84.0,,
Vuoristorata,Linnanmäki,"Linnanmäki, led by Svend Jarlström",Valdemar Lebech[3],Wood,,,operating,lift,60.1886,24.9417,1951,,23.98776,292.608,,,0,59.68,1.4000000000000001,,,135.0,1320.0,22.0
Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,Allan Herschell Company,The Allan Herschell Company,Steel,little dipper,,operating,lift,41.4405,-81.7577,1952,,,,,,0,,,,,,,
High Speed Thrill Coaster,Knoebels Amusement Resort,,Overland Amusement Company,Steel,,oval,closed,lift,40.8801,-76.5027,1955,2008.0,5.486400000000001,60.96,3.6576000000000004,,0,,1.0668000000000002,,,,,
Sea Dragon ,Rides At Adventure Cove,Philadelphia Toboggan Coasters,John C. Allen,Wood,,figure 8,operating,lift,40.1544,-83.1203,1956,,11.277600000000001,402.336,,45.0,0,40.0,1.0668000000000002,,,90.0,640.0,
Big Dipper (Camden Park),Camden Park,National Amusement Devices,,Other,,,operating,,,,1958,,,,,,0,,,,,100.0,,
Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Blackpool Pleasure Beach,Frank Wright,Wood,,,closed,,53.7913,-3.0561,1958,2017.0,15.24,385.8768,,,0,56.0,1.3208000000000002,,1.8,90.0,,
Wooden Roller Coaster (Playland),Playland,,"Carl Phare, Walker LeRoy",Wood,,twister,closed,lift,49.2824,-123.0352,1958,,22.86,865.6320000000001,20.4216,,0,79.52000000000001,1.2192,,,,,16.0
Matterhorn Bobsleds,,Arrow Development,WED Enterprises,Steel,custom,dual-tracked,operating,lift,,,1959,,24.384,620.8776,,,0,43.2,1.0668000000000002,,,127.0,,6.0
Tornado (Wedgewood Village Amusement Park),"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",,,Other,,,closed,,,,1961,,,,,,0,,,,,,,
Blue Streak (Cedar Point),Cedar Point,Philadelphia Toboggan Coasters,Frank F. HooverJohn C. Allen,Wood,,out and back,operating,lift,41.4799,-82.6826,1964,,23.7744,779.6784,21.945600000000002,45.0,0,64.0,1.2192,,,105.0,1400.0,24.0
Jetstream ,Riverview Park,Philadelphia Toboggan Coasters,John C. Allen,Wood,,,closed,,41.9418,-87.6907,1964,1967.0,,,,,0,,,,,,,
Montaña Rusa (La Feria Chapultepec Mágico),La Feria Chapultepec Mágico,National Amusement Devices,"Aurel Vaszin, Edward Leis",Wood,,,closed,,19.4164,-99.1956,1964,2019.0,33.528,1219.2,24.384,,0,,,,,,,
Giant Coaster (Fuji-Q Highland),Fuji-Q Highland,Sansei Technologies,,Steel,,,closed,lift,35.487,138.78,1966,1997.0,39.98976,436.47360000000003,,,0,79.52000000000001,,,,200.0,,
Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,Arrow Development,,Steel,mine train,,operating,lift,32.7585,-97.0685,1966,,10.668000000000001,731.52,,,0,56.0,1.0668000000000002,,,190.0,2010.0,
Swamp Fox ,Family Kingdom Amusement Park,Philadelphia Toboggan Coasters,John Allen,Wood,,out and back,operating,lift,33.6825,-78.8917,1966,,22.86,731.52,19.812,,0,80.0,1.2192,,,,,
Cannon Ball ,Lake Winnepesaukah,Philadelphia Toboggan Coasters,John C. Allen,Wood,,out and back,operating,lift,,,1967,,21.336000000000002,692.5056000000001,21.336000000000002,45.0,0,80.0,1.2192,,,92.0,,18.0
Dahlonega Mine Train,Six Flags Over Georgia,Arrow Dynamics,,Steel,mine train,terrain,operating,lift,33.7676,-84.5519,1967,,11.277600000000001,709.2696000000001,,45.0,0,46.400000000000006,1.0668000000000002,,,171.0,2200.0,30.0
Alpine Sleigh Ride,,,,Other,,,closed,,,,1968,1983.0,,,,,0,,,,,,,
Thunderbolt (Kennywood),Kennywood,,Andy Vettel (1968)John A. Miller (1924),Wood,,terrain,operating,lift,40.3889,-79.865,1968,,21.336000000000002,990.6,27.432000000000002,,0,88.0,1.3208000000000002,,,101.0,,24.0
Cedar Creek Mine Ride,Cedar Point,Arrow Development,Ron Toomer,Steel,mine train,,operating,lift,41.4847,-82.6904,1969,,14.630400000000002,774.192,,,0,67.2,1.2192,,,170.0,2400.0,30.0
Mini Mine Train (Six Flags Over Texas),"Arlington, Texas, U.S.",,,Other,,,operating,,32.7557,-97.0702,1969,,,,,,0,,,,,,,
Serpent ,Six Flags AstroWorld,Arrow Dynamics,,Steel,mine train,,closed,lift,29.676,-95.407,1969,2005.0,6.096,246.888,,,0,22.400000000000002,0.9144,,,89.0,500.0,
Daidarasaurus,Expoland,Sansei Technologies,,Steel,,,closed,lift,34.8044,135.5359,1970,2007.0,28.011120000000002,713.2320000000001,,,0,71.52000000000001,,,,393.0,,
Galaxi,,,,Other,,,in production,,,,1970,,,,,,0,,,,,,,
Jet Star (Casino Pier),Casino Pier,Anton Schwarzkopf,,Steel,jet,,closed,,39.9426,-74.0692,1970,2000.0,13.50264,538.00248,,,0,49.760000000000005,,,,,,
Wildcat (Jolly Roger Amusement Park),Jolly Roger Amusement Park,Anton Schwarzkopf,,Steel,wildcat,,,lift,,,1970,,,,,,0,,,,,,,
Gold Rusher,Six Flags Magic Mountain,Arrow Development,Ron Toomer,Steel,mine train,terrain,operating,lift,34.424,-118.5985,1971,,21.336000000000002,789.432,10.668000000000001,3.0,0,56.0,1.2192,,3.4,150.0,1750.0,30.0
Magic Flyer ,,Bradley and Kaye,Chance Rides,Steel,little dipper,oval,,lift,,,1971,1970.0,3.048,106.68,,1.0,0,16.0,,,2.1,30.0,360.0,12.0
River King Mine Train,Six Flags St. Louis,Arrow Dynamics,,Steel,mine train,,operating,,38.5155,-90.6738,1971,,9.7536,762.0,12.4968,,0,59.2,1.0668000000000002,,,180.0,1800.0,30.0
Excalibur (Six Flags AstroWorld),Six Flags AstroWorld,Arrow Dynamics,,Steel,mine train,,closed,lift,29.675,-95.407,1972,1998.0,26.822400000000002,803.7576,24.384,,0,73.60000000000001,,,,171.0,,30.0
Fire in the Hole (Silver Dollar City),Silver Dollar City,Herschend Family Entertainment,Herschend Enterprises,Steel,,,operating,launch,36.6703,-93.3407,1972,,,420.624,6.096,,0,43.2,0.9144,,,195.0,1000.0,12.0
Jumbo Jet (Cedar Point),Cedar Point,Anton Schwarzkopf,Werner Stengel,Steel,jet,,,lift,,,1972,,17.0688,,,,0,,,,,,,
The Racer (Kings Island),Kings Island,Philadelphia Toboggan Coasters,John C. Allen,Wood,,out and back,operating,lift,39.3437,-84.2647,1972,,26.822400000000002,1040.892,25.045416000000003,45.0,0,84.80000000000001,1.2192,,,120.0,2640.0,30.0
Rock n' Roller Coaster (Opryland),Opryland,Arrow Development,,Steel,mine train,,,lift,,,1972,1997.0,17.0688,609.6,,,0,72.0,1.0668000000000002,,,120.0,,
Scooby-Doo (Kings Island),Kings Island,Philadelphia Toboggan Coasters,John C. Allen,Wood,,figure 8,operating,lift,39.3432,-84.2693,1972,,11.76528,411.48,9.144,,0,56.0,1.016,,,90.0,1200.0,20.0
Toboggan (Hersheypark),Hersheypark,Chance Rides,Chance Rides,Steel,toboggan,,closed,lift,40.2866,-76.6561,1972,1977.0,13.716000000000001,137.16,,,0,,,,,,,
Carolina Goldrusher,Carowinds,Arrow Dynamics,Ron Toomer,Steel,mine train,,operating,lift,,,1973,,13.1064,730.6056,10.3632,,0,48.0,1.2192,,2.4,137.0,2000.0,
Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,Philadelphia Toboggan Coasters,"Don Rosser, John C. Allen, William Cobb",Wood,,out and back,operating,lift,33.7658,-84.5514,1973,,32.004000000000005,1158.24,27.127200000000002,45.0,0,91.2,1.0668000000000002,,3.7,120.0,1200.0,24.0
Schussboomer,Worlds of Fun,Anton Schwarzkopf,Werner Stengel,Steel,wildcat,,closed,,39.1773,-94.489,1973,1984.0,13.50264,460.00416,,,0,,,,,,900.0,4.0
Big Fury,Six Flags Great Adventure,Pinfari,Pinfari,Steel,custom,custom,closed,,40.138,-74.441,1974,1977.0,,,,,0,,,,,,,
Mini-Comet,Hersheypark,B.A. Schiff & Associates,Ben Schiff,Steel,custom,oval,closed,lift,40.288,-76.657,1974,1978.0,4.572,,0.743712,,0,,,,,,,10.0
Runaway Mine Train (Six Flags Great Adventure),"Jackson, New Jersey, United States",,,Other,,,operating,,40.1377,-74.4405,1974,,,,,,0,,,,,,,
Scooby-Doo (Kings Dominion),Kings Dominion,Philadelphia Toboggan Coasters,John C. Allen,Wood,,,operating,,37.8405,-77.4422,1974,,10.668000000000001,422.148,9.144,,0,56.0,1.016,,,100.0,1200.0,20.0
Trailblazer ,Hersheypark,Arrow Development,,Steel,mine train,,operating,lift,40.2892,-76.6535,1974,,13.1064,487.68,,,0,56.0,0.9144,,,75.0,1125.0,
Corkscrew (Knott's Berry Farm),Knott's Berry Farm,Arrow Development,Ron Toomer,Steel,corkscrew,,,lift,,,1975,1989.0,21.945600000000002,381.0,18.8976,,2,73.60000000000001,1.2192,,,75.0,600.0,
Glissade ,Busch Gardens Williamsburg,Anton Schwarzkopf,,Steel,jet,,closed,lift,37.235,-76.644,1975,1985.0,,,,,0,,,,,,,
Racer 75,,Philadelphia Toboggan Coasters,John C. Allen,Wood,,out and back,operating,lift,37.8371,-77.4449,1975,,25.908,1026.7188,24.6888,50.0,0,89.60000000000001,1.2192,,4.2,135.0,1200.0,30.0
Rockin' Roller,Six Flags St. Louis,Bradley and Kaye,,Steel,junior,,closed,lift,38.5128,-90.675,1975,2006.0,,,,,0,,,,,,,12.0
Scooby-Doo (Carowinds),Carowinds,Philadelphia Toboggan Coasters,John C. Allen,Wood,144a,,operating,lift,35.101,-80.9394,1975,,12.192,413.3088,10.668000000000001,,0,57.6,1.016,,,60.0,1250.0,
Space Mountain (Magic Kingdom),Magic Kingdom,Arrow Development,WED Enterprises,Steel,custom,,operating,,28.4192,-81.5772,1975,,27.432000000000002,974.1408,7.9248,,0,43.2,1.1176000000000001,,3.7,150.0,,6.0
Wabash Cannonball ,Opryland USA,Arrow Development,Ron Toomer,Steel,corkscrew,custom,closed,lift,36.2089,-86.6984,1975,1997.0,21.336000000000002,381.0,,,2,80.0,1.2192,,,70.0,480.0,
Alpen Blitz,Six Flags Great Adventure,Anton Schwarzkopf,Werner Stengel,Steel,blitz,,closed,,40.1371,-74.4411,1976,1978.0,4.8768,548.64,0.6096,,0,16.0,1.1176000000000001,,1.0,22.0,,
Corkscrew (Cedar Point),Cedar Point,Arrow Development,Ron Toomer,Steel,custom looping,out and back,operating,,41.4836,-82.6853,1976,,25.908,624.84,19.812,45.0,3,76.80000000000001,1.2192,,,120.0,1800.0,24.0
Demon ,,Arrow Dynamics,,Steel,custom looping,,,lift,,,1976,,31.0896,649.224,27.432000000000002,54.0,4,80.0,1.143,,,48.0,1300.0,24.0
Extremeroller,Worlds of Fun,Arrow Dynamics,,Steel,corkscrew,,closed,,39.1728,-94.4892,1976,1988.0,21.336000000000002,381.0,,55.0,2,80.0,,,,70.0,1800.0,
Gulf Coaster,,Allan Herschell Company,,Steel,little dipper,,,,,,1976,,,,,,0,,,,,,,12.0
High Roller (Valleyfair),Valleyfair,Rauenhorst Corporation,National Amusement Devices,Wood,,out and back,operating,lift,44.8006,-93.4578,1976,,21.336000000000002,908.9136000000001,17.0688,52.0,0,80.0,1.2192,,3.2,105.0,1150.0,24.0
Jet Star 2 (Lagoon),Lagoon Amusement Park,Anton Schwarzkopf,,Steel,jet,,operating,,40.9869,-111.8936,1976,,13.50264,583.17384,,,0,,1.27,,,,,6.0
Jumbo Jet (Morey's Piers),Morey's Piers,Anton Schwarzkopf,Ing.-Büro Stengel GmbH,Steel,jet,,closed,lift,38.986,-74.809,1976,1987.0,17.0688,869.8992000000001,,,0,80.0,,,,143.0,1200.0,
Lil' Thunder,Six Flags Great Adventure,Molina & Sons,,Steel,little dipper,,closed,,40.138,-74.44,1976,1983.0,2.7432000000000003,60.6552,0.9144000000000001,,0,8.0,0.508,,,27.0,,
Mild Thing,Valleyfair,Allan Herschell Company,,Steel,,,closed,lift,44.7996,-93.4575,1976,2010.0,,,,,0,,,,,,450.0,
Python (Busch Gardens Tampa Bay),Busch Gardens Tampa Bay,Arrow Development,Ron Toomer,Steel,corkscrew,,closed,lift,28.039,-82.4251,1976,2006.0,21.945600000000002,365.76,,,2,64.0,1.0668000000000002,,,68.0,,
The New Revolution ,Six Flags Magic Mountain,Anton Schwarzkopf,Werner Stengel,Steel,looping,terrain,operating,lift,34.4228,-118.5964,1976,,34.4424,1053.6936,25.2984,45.0,1,88.0,1.2192,,4.9,79.0,1400.0,20.0
Screamin' Eagle,Six Flags St. Louis,Philadelphia Toboggan Coasters,John C. Allen,Wood,,out and back,operating,,38.5164,-90.6761,1976,,33.528,1180.1856,28.041600000000003,,0,99.2,1.0668000000000002,,,150.0,,24.0
Texas Cyclone,Six Flags AstroWorld,Frontier Construction Company,"Don Rosser, William Cobb",Wood,,cyclone,closed,lift,29.6767,-95.4097,1976,2005.0,28.346400000000003,969.264,24.384,53.0,0,,1.2192,,,135.0,,24.0
Thunder Road ,,Philadelphia Toboggan Coasters,Curtis D. Summers,Wood,,out and back,closed,lift,35.1004,-80.9426,1976,2015.0,28.346400000000003,1164.0312000000001,26.822400000000002,,0,92.80000000000001,1.2192,,3.4,130.0,,
Whizzer ,,Anton Schwarzkopf,Werner Stengel,Other,jet,terrain,,launch,,,1976,1988.0,21.336000000000002,944.88,19.5072,35.0,0,67.2,0.9144,,3.0,120.0,810.0,24.0
Double Loop (Geauga Lake),Geauga Lake,Arrow Dynamics,,Steel,,,closed,lift,41.3528,-81.3774,1977,2007.0,28.956000000000003,548.64,27.432000000000002,45.0,2,57.6,1.2192,,,90.0,525.0,24.0
Screamin' Demon,,Arrow Dynamics,,Steel,,,,launch,,,1977,,17.0688,193.548,14.325600000000001,,1,72.0,,,4.0,66.0,,20.0
Shuttle Loop,,Anton Schwarzkopf,Werner Stengel & Reinhold Spieldiener,Other,,,closed,,,,1977,,,,,,2,,,,,,1300.0,
